"Survived" "Pclass" "Sex" "Age" "Fare" "Embarked" "FamilyNum" "AgeBin"
"1" 0 "3" "male" 22 7.25 "S" 1 "middle"
"2" 1 "1" "female" 38 71.28 "C" 1 "middle"
"3" 1 "3" "female" 26 7.92 "S" 0 "middle"
"4" 1 "1" "female" 35 53.1 "S" 1 "middle"
"5" 0 "3" "male" 35 8.05 "S" 0 "middle"
"7" 0 "1" "male" 54 51.86 "S" 0 "Late"
"8" 0 "3" "male" 2 21.08 "S" 4 "Child"
"9" 1 "3" "female" 27 11.13 "S" 2 "middle"
"10" 1 "2" "female" 14 30.07 "C" 1 "Teen"
"11" 1 "3" "female" 4 16.7 "S" 2 "Child"
"12" 1 "1" "female" 58 26.55 "S" 0 "Late"
"13" 0 "3" "male" 20 8.05 "S" 0 "middle"
"14" 0 "3" "male" 39 31.27 "S" 6 "middle"
"15" 0 "3" "female" 14 7.85 "S" 0 "Teen"
"16" 1 "2" "female" 55 16 "S" 0 "Late"
"17" 0 "3" "male" 2 29.12 "Q" 5 "Child"
"19" 0 "3" "female" 31 18 "S" 1 "middle"
"21" 0 "2" "male" 35 26 "S" 0 "middle"
"22" 1 "2" "male" 34 13 "S" 0 "middle"
"23" 1 "3" "female" 15 8.03 "Q" 0 "Teen"
"24" 1 "1" "male" 28 35.5 "S" 0 "middle"
"25" 0 "3" "female" 8 21.08 "S" 4 "Child"
"26" 1 "3" "female" 38 31.39 "S" 6 "middle"
"28" 0 "1" "male" 19 263 "S" 5 "Teen"
"31" 0 "1" "male" 40 27.72 "C" 0 "middle"
"34" 0 "2" "male" 66 10.5 "S" 0 "Late"
"35" 0 "1" "male" 28 82.17 "C" 1 "middle"
"36" 0 "1" "male" 42 52 "S" 1 "middle"
"38" 0 "3" "male" 21 8.05 "S" 0 "middle"
"39" 0 "3" "female" 18 18 "S" 2 "Teen"
"40" 1 "3" "female" 14 11.24 "C" 1 "Teen"
"41" 0 "3" "female" 40 9.47 "S" 1 "middle"
"42" 0 "2" "female" 27 21 "S" 1 "middle"
"44" 1 "2" "female" 3 41.58 "C" 3 "Child"
"45" 1 "3" "female" 19 7.88 "Q" 0 "Teen"
"50" 0 "3" "female" 18 17.8 "S" 1 "Teen"
"51" 0 "3" "male" 7 39.69 "S" 5 "Child"
"52" 0 "3" "male" 21 7.8 "S" 0 "middle"
"53" 1 "1" "female" 49 76.73 "C" 1 "Late"
